pin_number,student_name,branch,current_semester,cgpa,active_backlogs,attendance_percentage,hall_ticket_status,tuition_fee_due,scholarship_type,placed_company,placement_package_lpa,disciplinary_flag
24A91A0501,Aarav Agarwal,CIVIL,2,8.67,0,83.0,Issued,0,None,None,0.0,0
24A91A0502,Aditi Sharma,MECH,2,7.56,0,80.9,Issued,0,Merit-Cum-Means,None,0.0,0
23A91A0503,Rohan Verma,CSE,4,7.44,3,69.8,Issued,0,JVD-Reimbursement,None,0.0,0
23A91A0504,Ananya Iyer,CSE,3,7.48,1,75.1,Issued,0,JVD-Reimbursement,None,0.0,0
24A91A0505,Karthik Reddy,IT,2,7.16,2,87.7,Hold,65000,None,None,0.0,0
21A91A0506,Pooja Hegde,CSE,7,8.61,0,85.2,Issued,0,JVD-Reimbursement,Microsoft,44.0,1
22A91A0507,Vikram Deshmukh,AI&DS,5,9.9,0,80.5,Hold,45000,None,None,0.0,0
22A91A0508,Sneha Kulkarni,CIVIL,6,8.34,0,88.4,Issued,0,None,None,0.0,0
23A91A0509,Rahul Nair,AI&DS,4,8.36,0,88.7,Hold,65000,None,None,0.0,0
22A91A0510,Divya Pillai,AI&DS,6,8.85,0,70.5,Issued,0,None,None,0.0,0
22A91A0511,Arjun Banerjee,IT,5,9.9,0,89.1,Issued,0,JVD-Reimbursement,None,0.0,0
21A91A0512,Kavya Menon,IT,7,8.98,0,74.4,Issued,0,Merit-Cum-Means,Cisco,17.5,0
21A91A0513,Siddharth Joshi,IT,7,5.35,1,98.0,Issued,0,None,None,0.0,0
24A91A0514,Priyanka Nambiar,EEE,2,8.17,0,85.9,Issued,0,None,None,0.0,0
21A91A0515,Pranav Bhatia,MECH,8,5.0,0,78.1,Issued,0,None,None,0.0,0
22A91A0516,Tanvi Mukherjee,MECH,5,7.92,0,74.8,Issued,0,Merit-Cum-Means,None,0.0,0
22A91A0517,Harsh Vardhan,CIVIL,5,9.63,0,79.6,Issued,0,None,None,0.0,0
23A91A0518,Meera Dasgupta,ECE,4,8.87,0,93.1,Issued,0,None,None,0.0,0
24A91A0519,Ayush Mishra,IT,1,8.6,0,86.9,Hold,45000,None,None,0.0,0
24A91A0520,Riya Sen,AI&DS,2,8.89,0,86.7,Issued,0,Merit-Cum-Means,None,0.0,0
23A91A0521,Nikhil Kapoor,IT,3,7.59,0,98.0,Issued,0,Merit-Cum-Means,None,0.0,0
23A91A0522,Anushka Chawla,EEE,4,7.54,0,74.1,Issued,0,JVD-Reimbursement,None,0.0,0
21A91A0523,Varun Tripathi,MECH,8,8.37,0,85.9,Issued,0,Merit-Cum-Means,Google,38.5,0
24A91A0524,Sanjana Roy,CIVIL,1,8.12,0,98.0,Hold,25000,None,None,0.0,0
21A91A0525,Devansh Saxena,ECE,8,7.93,0,86.2,Hold,65000,None,Uber,42.0,0
21A91A0526,Ishita Chatterjee,EEE,7,7.98,0,85.4,Issued,0,State-Minority-Grant,Google,38.5,0
24A91A0527,Manish Pandey,CIVIL,2,9.45,0,86.8,Hold,25000,None,None,0.0,0
21A91A0528,Tejas Soni,AI&DS,8,8.25,0,85.9,Issued,0,None,Microsoft,44.0,0
24A91A0529,Shreya Bhat,MECH,1,9.9,0,78.5,Hold,25000,None,None,0.0,0
23A91A0530,Abhishek Rao,IT,4,9.37,0,69.0,Issued,0,None,None,0.0,0
21A91A0531,Nandini Mehta,ECE,8,7.43,3,94.1,Issued,0,JVD-Reimbursement,None,0.0,0
24A91A0532,Gaurav Chauhan,CSE,1,7.8,0,79.3,Issued,0,Merit-Cum-Means,None,0.0,0
24A91A0533,Lavanya Patil,MECH,2,8.05,0,79.6,Issued,0,Merit-Cum-Means,None,0.0,0
23A91A0534,Chirag Shukla,MECH,4,7.52,0,80.9,Issued,0,JVD-Reimbursement,None,0.0,0
22A91A0535,Aditya Kaur,AI&DS,6,7.88,0,90.0,Issued,0,JVD-Reimbursement,None,0.0,0
24A91A0536,Neha Kalyan,EEE,2,9.33,0,82.7,Issued,0,None,None,0.0,0
22A91A0537,Rohit Suresh,AI&DS,5,8.49,0,87.5,Issued,0,Merit-Cum-Means,None,0.0,0
21A91A0538,Simran Nayak,AI&DS,8,8.66,0,71.2,Issued,0,None,Cisco,17.5,0
23A91A0539,Pawan Dixit,CSE,3,7.59,0,98.0,Hold,25000,None,None,0.0,0
23A91A0540,Keerthi Singhal,MECH,4,7.65,0,76.7,Issued,0,JVD-Reimbursement,None,0.0,0
24A91A0541,Deepak Agarwal,ECE,1,8.77,0,86.6,Issued,0,None,None,0.0,0
22A91A0542,Anirudh Sharma,AI&DS,5,8.43,0,89.3,Hold,65000,None,None,0.0,1
23A91A0543,Bhavana Verma,CSE,3,5.8,1,77.7,Issued,0,None,None,0.0,0
24A91A0544,Vishal Iyer,EEE,1,8.41,0,78.7,Issued,0,None,None,0.0,0
21A91A0545,Akash Reddy,MECH,7,9.61,0,79.8,Hold,25000,None,None,0.0,0
23A91A0546,Kunal Hegde,EEE,3,7.98,0,80.8,Hold,45000,None,None,0.0,0
23A91A0547,Deepika Deshmukh,IT,4,7.6,0,96.0,Issued,0,None,None,0.0,0
23A91A0548,Sameer Kulkarni,AI&DS,4,8.3,0,73.9,Issued,0,Merit-Cum-Means,None,0.0,0
23A91A0549,Swati Nair,CIVIL,4,7.09,0,85.9,Hold,45000,None,None,0.0,0
21A91A0550,Mihir Pillai,MECH,7,6.89,2,68.1,Hold,25000,None,None,0.0,0
23A91A0551,Aarav Banerjee,ECE,3,5.04,0,70.9,Issued,0,State-Minority-Grant,None,0.0,0
22A91A0552,Aditi Menon,EEE,6,5.0,0,91.0,Issued,0,Merit-Cum-Means,None,0.0,0
21A91A0553,Rohan Joshi,CIVIL,7,9.9,0,82.2,Issued,0,Merit-Cum-Means,Microsoft,44.0,0
22A91A0554,Ananya Nambiar,ECE,6,7.51,0,78.5,Hold,65000,None,None,0.0,0
22A91A0555,Karthik Bhatia,IT,6,7.05,1,85.9,Issued,0,State-Minority-Grant,None,0.0,0
22A91A0556,Pooja Mukherjee,AI&DS,5,6.07,2,90.4,Issued,0,State-Minority-Grant,None,0.0,0
22A91A0557,Vikram Vardhan,MECH,6,6.64,1,83.9,Issued,0,Merit-Cum-Means,None,0.0,0
22A91A0558,Sneha Dasgupta,ECE,6,9.9,0,92.9,Issued,0,JVD-Reimbursement,None,0.0,0
23A91A0559,Rahul Mishra,AI&DS,3,8.61,0,82.9,Issued,0,None,None,0.0,0
23A91A0560,Divya Sen,CIVIL,4,7.59,0,74.3,Issued,0,Merit-Cum-Means,None,0.0,0
24A91A0561,Arjun Kapoor,CSE,2,7.94,0,76.5,Hold,65000,None,None,0.0,0
23A91A0562,Kavya Chawla,CSE,4,8.29,0,80.0,Issued,0,State-Minority-Grant,None,0.0,0
22A91A0563,Siddharth Tripathi,MECH,6,9.9,0,76.8,Issued,0,State-Minority-Grant,None,0.0,0
21A91A0564,Priyanka Roy,MECH,8,9.25,0,74.1,Issued,0,JVD-Reimbursement,None,0.0,0
21A91A0565,Pranav Saxena,ECE,8,7.18,0,77.4,Hold,25000,None,TCS Digital,7.5,0
23A91A0566,Tanvi Chatterjee,CSE,3,8.43,0,88.4,Issued,0,Merit-Cum-Means,None,0.0,0
22A91A0567,Harsh Pandey,IT,6,6.7,1,79.8,Hold,45000,None,None,0.0,0
24A91A0568,Meera Soni,MECH,1,8.96,0,71.3,Issued,0,None,None,0.0,0
21A91A0569,Ayush Bhat,ECE,7,9.45,0,66.2,Issued,0,Merit-Cum-Means,Cisco,17.5,0
21A91A0570,Riya Rao,CSE,7,6.95,3,92.3,Hold,45000,None,None,0.0,0
24A91A0571,Nikhil Mehta,MECH,1,9.03,0,76.1,Issued,0,None,None,0.0,0
21A91A0572,Anushka Chauhan,AI&DS,8,8.16,0,87.6,Issued,0,State-Minority-Grant,Infosys SP,9.5,0
21A91A0573,Varun Patil,EEE,7,7.79,0,85.3,Issued,0,None,None,0.0,0
24A91A0574,Sanjana Shukla,CIVIL,2,8.11,0,70.6,Hold,25000,None,None,0.0,0
23A91A0575,Devansh Kaur,CSE,3,7.89,0,91.0,Issued,0,Merit-Cum-Means,None,0.0,0
22A91A0576,Ishita Kalyan,ECE,6,8.54,0,91.5,Hold,25000,None,None,0.0,0
22A91A0577,Manish Suresh,AI&DS,5,8.0,0,83.1,Issued,0,State-Minority-Grant,None,0.0,0
23A91A0578,Tejas Nayak,CIVIL,4,9.3,0,87.6,Issued,0,None,None,0.0,0
24A91A0579,Shreya Dixit,ECE,2,8.21,0,72.1,Issued,0,State-Minority-Grant,None,0.0,0
